index,Company,TypeName,Inches,Resolution_Width,Resolution_Heigth,Touch_Screen,Cpu_Brand,Cpu_Name,Cpu_Speed,Ram,Memory_Type,Primary_Storage,Secondary_Storage,Gpu_Brand,OpSys,Weigth(kg),Price
1126,Lenovo,"2 in 1 Convertible",10.1,1920,1200,Yes,Intel,"Atom x5-Z8550",1.44GHz,4,"Flash Storage",64,0,Intel,windows,0.69,25521.1
1127,HP,Ultrabook,12.5,1366,768,No,Intel,"Core i5",2.4GHz,8,SDD,256,0,Intel,windows,1.26,100965.6
1128,Lenovo,Gaming,15.6,1920,1080,No,Intel,"Core i5",2.5GHz,8,Hybrid,128,1024,Nvidia,N/A,2.4,52693.9
1129,HP,Gaming,17.3,1920,1080,No,Intel,"Core i5",2.3GHz,8,Hybrid,128,1024,Nvidia,windows,3.35,60153.1
1130,HP,Notebook,15.6,1366,768,No,Intel,"Core i7",2.7GHz,8,HDD,2048,0,Intel,windows,2.04,33513.1
1131,Lenovo,"2 in 1 Convertible",14.0,1920,1080,Yes,Intel,"Core i7",2.6GHz,8,SDD,512,0,Nvidia,windows,1.8,109244.2
1132,Asus,Notebook,14.0,1366,768,No,Intel,"Celeron Dual",1.1GHz,4,"Flash Storage",32,0,Intel,windows,1.5,14811.8
1133,HP,Ultrabook,15.6,1920,1080,No,Intel,"Core i7",2.7GHz,8,SDD,256,0,Intel,windows,1.84,40066.6
1134,Acer,Notebook,15.6,1920,1080,No,Intel,"Core i5",2.5GHz,4,HDD,1024,0,Nvidia,windows,2.23,32820.5
1135,Lenovo,Notebook,15.6,1920,1080,No,Intel,"Core i7",2.5GHz,16,Hybrid,1024,0,AMD,windows,2.5,58554.7
1136,HP,Workstation,17.3,1920,1080,No,Intel,"Core i7",2.6GHz,8,SDD,256,0,Nvidia,windows,3,210424.0
1137,Dell,Notebook,15.6,1366,768,No,Intel,"Core i5",2.5GHz,8,HDD,1024,0,AMD,windows,2.5,41771.5
1138,MSI,Gaming,17.3,1920,1080,No,Intel,"Core i7",2.7GHz,16,Hybrid,256,1024,Nvidia,windows,3.78,127818.7
1139,HP,Ultrabook,15.6,1920,1080,No,Intel,"Core i7",2.5GHz,8,SDD,256,0,Intel,windows,1.88,115709.2
1140,Lenovo,"2 in 1 Convertible",14.0,2560,1440,Yes,Intel,"Core i7",2.6GHz,16,SDD,512,0,Intel,windows,2.8,130003.2
1141,MSI,Gaming,15.6,1920,1080,No,Intel,"Core i7",2.8GHz,8,Hybrid,128,1024,Nvidia,windows,2.4,60888.4
1142,HP,"2 in 1 Convertible",13.3,1920,1080,Yes,Intel,"Core i5",2.4GHz,8,SDD,256,0,Intel,windows,1.48,86793.1
1143,HP,Workstation,15.6,1920,1080,No,Intel,"Core i7",2.6GHz,8,SDD,256,0,Nvidia,windows,2.59,118761.1
